CompanyName,FirstName,LastName,City,State,WebSite
Advent Group,David A,Reeve,Bellevue,WA,www.cascadegroup.com
Aegis Living,Walter,Jossart,Redmond,WA,www.aegisliving.com
"AEW Capital Management, L.P.",Anthony C,Crooks,Boston,MA,www.aew.com
Affinity Living Group LLC,Charles E,"Trefzger, Jr",Hickory,NC,www.affinitylivinggroup.com
Allegro Senior Living,Douglas S,Schiffer,Atlanta,GA,www.allegroliving.com
Ally Financial,Scott,Rossbach,Bethesda,MD,
American Healthcare Investors,Danny,Prosky,Irvine,CA,https://www.griffincapital.com/griffin-american-healthcare-reit-iii
American House Senior Living Communities,Dale,Watchowski,Southfield,MI,www.americanhouse.com
"Arbor Commercial Mortgage, LLC",Heath,Coryell,Providence Forge,VA,
Artis Senior Living Management,Ed,Yarish,,,www.artissl.com
"Aureus Investors, LLC",Robert T,"Halpin, Jr",Dallas,TX,www.aureusgroup.com
Avamere Health Services LLC,Ryan,Haller,Wilsonville,OR,
Bank of the West,Astrid,Kramarz,Trinidad,CO,www.bankofthewest.com
Barings MultifamilyCapital LLC,Sean,Huntsman,Bend,OR,
BayBridge Seniors Housing Inc.,Robert,Ezer,Toronto,ON,www.baybridgesh.com
Belmont Village Senior Living,Patricia G,Will,Houston,TX,www.belmontvillage.com
Benchmark Senior Living,Thomas H,Grape,Wellesley,MA,www.benchmarkseniorliving.com
Bickford Senior Living,Joe,Eby,Olathe,KS,www.enrichinghappiness.com
Blackstone,Philip,Solomond,,,
Blue Moon Capital Partners LP,Kathryn A,Sweeney,Boston,MA,www.bluemooncp.com
Blueprint Healthcare Real Estate Advisors,Jacob D,Gehl,Los Angeles,CA,www.blueprinthcre.com
"Bourne Financial Group, LLC",Sharon,Yester,Winter Park,FL,
Bridge Seniors,Phillip M,Anderson,Orlando,FL,www.bridge-igp.com
Bridgewood Property Company,James D,Gray,Houston,TX,www.bridgewood.us
Brightview Senior Living LLC,Marilynn K,Duker,Baltimore,MD,www.brightviewseniorliving.com
Brookdale,T,Andrew Smith,Chicago,IL,www.brookdale.com
Capital Health Group,Kenneth R,Assiran,Baltimore,MD,www.caphealthgroup.com
Capital One Healthcare,James,Seymour,Chicago,IL,www.capitalone.com/commercial/healthcare
Capital One Healthcare,Mark,Bultman,,,
Capital Senior Living Corporation,Lawrence A,Cohen,New York,NY,www.capitalsenior.com
Capitol Seniors Housing,S,Scott Stewart,Washington,DC,www.capitolseniorshousing.com
CBRE Capital Markets,Aron,Will,Houston,TX,www.cbre.com/capitalmarkets
Cedarbrook Senior Living,Michael J,Damone,Troy,MI,www.cedarbrookseniorliving.com
Chartwell Retirement Residences,Vlad,Volodarski,Mississauga,ON CANADA,
Chicago Pacific Founders,John P,Rijos,Chicago,IL,
Clearwater Senior Living,Danielle,Morgan,Irvine,CA,
CNL,Kevin,Maddron,Orlando,FL,www.cnl.com
Colony Northstar Inc,Ron,Jeanneault,Bethesda,MD,www.clns.com
"Contemporary Healthcare Capital, LLC",John,OBrien,Chattanooga,TN,www.contemporarycapital.com
Cordia Senior Living,Karen M,Anderson,Charlestown,MA,www.cordia.biz
"Covenant Group, The",Donny,Edwards,Forth Worth,TX,www.thecovenantgroup.com
"CS Capital Advisors, LLC",Peter E,Pickette,New York,NY,www.cscapitaladvisors.com
Cushman & Wakefield,Richard,,Boston,MA,www.cushwake.com
Discovery Senior Living,Richard J,Hutchinson,Winslow,ME,www.discoverymgt.com
Dougherty Mortgage LLC,James F,Sherman,Medfield,MA,www.doughertymarkets.com
"Duane Morris, LLP",Susan V,Kayser,New York,NY,www.duanemorris.com
"Eclipse Senior Living, Inc.",Kai,Hsiao,,,
Engel Burman Group,Jan,Burman,,,www.engelburman.com
Enlivant,Jack,Callison,Chicago,IL,www.enlivant.com
Erickson Living,Alan,Butler,Baltimore,MD,www.ericksonretirement.com
"Evergreen Senior Living Properties, LLC",Brian,Dowd,Brentwood,TN,www.evergreenslp.com
Fannie Mae,Roosevelt,Davis,Washington,DC,
Five Star Senior Living,Bruce J,"Mackey, Jr",Newton,MA,www.fivestarqualitycare.com
Formation Capital LLC,Brian,Beckwith,Alpharetta,GA,www.formationcapital.com
Franklin Companies,Luke,Classen,San Antonio,TX,www.franklincompanies.com
Freddie Mac,Steven,Schmidt,McLean,VA,www.freddiemac.com
Frontier Management,Greg,Roderick,Portland,OR,www.frontiermgmt.com
Grace Management,Guy,Geller,,,www.gracemanagement.com
"Grandbridge Real Estate Capital, LLC",Richard A,Thomas,Atlanta,GA,www.grandbridge.com
"Green Courte Partners, LLC",Aaron,,Chicago,IL,
Greystone,Scott,Kavel,Atlanta,GA,www.greyco.com
"Hanson Bridgett, LLP",Paul A,Gordon,San Francisco,CA,www.seniorcarelaw.com
"Harbor Retirement Associates, LLC",Sarabeth,Hanson,Vero Beach,FL,http://www.hraseniorliving.com/
Hawthorn Retirement Group,Patrick F,Kennedy,Seattle,WA,www.hawret.com
"HCP, Inc.",Kendall,Young,Irvine,CA,www.hcpi.com
"HealthTrust, LLC",Alan C,Plush,Sarasota,FL,www.healthtrust.com
HFF,Ryan,Maconachy,Dallas,TX,www.hfflp.com
HJ Sims,R,Jeffrey Sands,Fairfield,CT,www.hjsims.com
Houlihan Lokey,Matthew,Ryan,Chicago,IL,www.hl.com
"HTG Consultants, LLC",David,,New Castle,DE,www.htgconsultants.com
Hunt Mortgage Group,Kathryn,Burton,Dana Point,CA,
"JES Holdings, LLC",Monica,Swoboda,Columbia,MO,www.jesholdings.com
Jones Lang LaSalle,Jessica,Morgan,Saint Paul,MN,www.jll.com
Juniper Communites,Lynne S,Katzmann,Bloomfield,NJ,www.junipercommunities.com
"Kandu Capital, LLC / Bloom Senior Living",Bradley,Dubin,Beverly Hills,CA,www.kanducapital.com
Kayne Anderson Real Estate Advisors,Max,Newland,Boca Raton,FL,www.kaynecapital.com
"Kensington Senior Living, LLC",Tiffany,Tomasso,Reston,VA,
KeyBank Real Estate Capital,Kevin P,Murray,Atlanta,GA,www.keybank.com/healthcare
"Kisco Senior Living, LLC",Andrew S,Kohlberg,Carlsbad,CA,www.kiscosl.com
Lancaster Pollard,Kass,Matt,Columbus,OH,www.lancasterpollard.com
"LCB Senior Living, LLC",Michael A,Stoller,Norwood,MA,www.lcbseniorliving.com
LCS,Edward R,Kenny,Des Moines,IA,www.lcsnet.com
Legacy Lifestyle Senior Housing,David,Edwards,Sanibel,FL,
"LTC Properties, Inc.",Wendy,Simpson,Westlake Village,CA,www.ltcreit.com
Mather LifeWays,Mary G,Leary,Evanston,IL,www.matherlifeways.com
MBK Senior Living,Jeff,Fischer,Irvine,CA,
"MidCap Financial Services, LLC",Kevin,McMeen,Chicago,IL,www.midcapfinancial.com
National Health Investors Inc.,Eric,Mendelsohn,Murfreesboro,TN,
New Senior Investment Group,Susan,Givens,New York,NY,www.newseniorinv.com
"Oakmont Senior Living, LLC",Joseph G,Lin,Windsor,CA,www.oakmontseniorliving.com
"Omega Healthcare Investors, Inc.",Joshua,Kochek,,,
One Eighty | Leisure Care,Dan B,Madsen,Seattle,WA,www.leisurecare.com
Pathway to Living LLC,Jerome E,Finis,Chicago,IL,www.pathwaysl.com
Pensam Capital LLC,Michael,Stein,,,
PGIM Real Estate,Noah R,Levy,Madison,NJ,www.pgimrealestate.com
PinPoint Senior Living,Charles,Turner,Houston,TX,www.pinpointseniorliving.com
PNC Real Estate,Jason,Schreiber,Chapel Hill,NC,
Principal Senior Living,David,Hubble,,,
"ProMatura Group, LLC",Margaret A,Wylde,Oxford,MS,www.promatura.com
Protective Life Insurance Company,Laura,McDonald,Birmingham,AL,www.protective.com
Prudential Mortgage Capital Company,Thomas,Goodsite,Atlanta,GA,www.prumortgagecapital.com
Revera,Thomas,Wellner,Mississauga,ON,www.reveraliving.com
"Ridge Care, Inc.",Jeff,Dickerson,Kernersville,NC,www.ridgecare.com
RSF Partners,Sebastian,Brown,Dallas,TX,www.rsfpartners.com
"Sabra Health Care REIT, Inc.",Talya,Nevo-Hacohen,Irvine,CA,www.sabrahealth.com
Salem Equity,James T,Hands,Dallas,TX,
Senior Housing Global Advisors,Mel,Gamzon,Miami,FL,www.snrhousing.com
Senior Housing Properties Trust,David J,Hegarty,Newton,MA,www.snhreit.com
Senior Lifestyle,William B,Kaplan,Chicago,IL,www.seniorlifestyle.com
"Senior Living Communities, LLC",Donald O,"Thompson, Jr",Charlotte,NC,www.senior-living-communities.com
"Senior Living Investment Brokerage, Inc.",Grant A,Kief,Glen Ellyn,IL,www.seniorlivingbrokerage.com
"Senior Resource Group, LLC",Michael S,Grust,Solana Beach,CA,www.srgseniorliving.com
Senior Star,Robert,Thomas,Tulsa,OK,www.seniorstar.com
Senior Star,William F,Thomas,Tulsa,OK,www.seniorstar.com
Silverado Senior Living,Loren B,Shook,Irvine,CA,www.silveradocare.com
"Spectrum Retirement Communities, LLC",Jeffrey D,Kraus,Denver,CO,www.spectrumretirement.com
"Stifel, Nicolaus & Company, Inc.",Chad,Gorsuch,,,www.stifel.com
Sun Health Senior Living,Sharon,Grambow,Sun City West,AZ,www.sunhealthseniorliving.org
Sunrise Senior Living Inc.,Chris,Winkle,McLean,VA,www.sunriseseniorliving.com
Trilogy Health Services LLC,Randall J,Bufford,Louisville,KY,www.trilogyhs.com
United Methodist Communities,Lawrence,Carlson,,,www.umcommunities.org
Valuation & Information Group,Marcus,Lussier,Culver City,CA,www.valinfo.com
"Ventas Healthcare Properties, Inc.",John,,Chicago,IL,http://www.ventasreit.com/
Virtus Real Estate Capital,John,Sweeny,Austin,TX,
Walker Dunlop,Jeffrey C,Ringwald,Dallas,TX,
Watermark Retirement Communities,David,Barnes,Tucson,AZ,www.watermarkcommunities.com
"Waters Senior Living, The",Lynn,Carlson,Minnetonka,MN,www.thewatersseniorliving.com
"Weitz Company, The",Larry,Graeve,Des Moines,IA,www.weitz.com
Wells Fargo Bank,Catherine,Voreyer,Irvine,CA,www.wellsfargo.com
Welltower Inc.,Mercedes,Kerr,Toledo,OH,www.welltower.com/
"Wolff Company, The",Timothy,M,Scottsdale,AZ,www.awolff.com
Ziegler Investment Banking,William T,Mulligan,Milwaukee,WI,www.ziegler.com
